,name,face_image,mean,minimum,maximum,median,mode
0,Abidali Neemuchwala,"[[[ 56  68  92]
  [ 57  70  96]
  [ 64  78 106]
  ...
  [217 222 247]
  [215 220 245]
  [218 224 247]]

 [[ 55  66  93]
  [ 55  67  95]
  [ 63  77 105]
  ...
  [214 221 246]
  [216 224 247]
  [222 228 251]]

 [[ 54  65  93]
  [ 57  69  97]
  [ 64  78 107]
  ...
  [217 224 249]
  [214 222 245]
  [215 221 244]]

 ...

 [[ 47  58  90]
  [ 48  61  93]
  [ 48  61  93]
  ...
  [106 132 169]
  [115 141 177]
  [128 152 188]]

 [[ 44  58  87]
  [ 46  60  89]
  [ 48  62  91]
  ...
  [119 145 182]
  [121 147 183]
  [123 147 183]]

 [[ 44  58  87]
  [ 41  55  84]
  [ 50  61  91]
  ...
  [123 149 186]
  [127 153 189]
  [129 154 188]]]",110.59386664277822,11.0,254.0,97.0,72.0
1,Abigail Johnson,"[[[  4   5   9]
  [ 15  18  23]
  [ 14  23  32]
  ...
  [ 50  63  77]
  [ 29  41  51]
  [ 45  52  61]]

 [[  6   9  13]
  [ 11  15  20]
  [ 34  44  54]
  ...
  [ 62  77  93]
  [ 48  62  74]
  [ 23  32  42]]

 [[ 13  16  20]
  [ 11  20  24]
  [ 51  66  75]
  ...
  [ 53  69  86]
  [ 59  74  90]
  [ 42  54  66]]

 ...

 [[152 174 222]
  [151 174 220]
  [153 173 220]
  ...
  [145 159 201]
  [144 158 200]
  [144 158 200]]

 [[150 172 220]
  [155 175 222]
  [155 175 223]
  ...
  [145 159 201]
  [146 160 202]
  [147 161 203]]

 [[153 175 223]
  [158 178 225]
  [158 178 226]
  ...
  [146 160 202]
  [147 161 203]
  [146 160 202]]]",156.54275584399977,5.0,252.0,166.0,174.0
2,Ajaypal Singh Banga,"[[[  2   7   6]
  [ 13  18  21]
  [  0   7  16]
  ...
  [ 79 102 148]
  [ 67  84 117]
  [  5  18  44]]

 [[  5  13  12]
  [  0   9  13]
  [  0  10  24]
  ...
  [ 82 107 157]
  [ 77  97 138]
  [ 39  54  86]]

 [[  2  16  14]
  [  0   9  16]
  [ 13  32  53]
  ...
  [ 77 104 160]
  [ 77 100 148]
  [ 75  94 132]]

 ...

 [[ 13  23  41]
  [ 13  22  42]
  [ 37  48  68]
  ...
  [ 46  51  66]
  [ 29  36  51]
  [ 23  29  42]]

 [[ 12  20  37]
  [ 17  24  43]
  [ 52  59  78]
  ...
  [ 28  34  45]
  [ 26  32  45]
  [ 19  24  33]]

 [[ 12  21  35]
  [ 28  35  52]
  [ 58  65  82]
  ...
  [ 16  21  30]
  [ 23  29  40]
  [ 20  26  33]]]",100.03111111111112,1.0,189.0,109.0,151.0
3,Akio Toyoda,"[[[117 142 162]
  [117 141 159]
  [121 145 163]
  ...
  [ 66 113 221]
  [ 68 115 223]
  [ 65 111 219]]

 [[114 138 160]
  [121 147 164]
  [115 143 160]
  ...
  [ 69 116 224]
  [ 71 118 226]
  [ 64 112 218]]

 [[120 144 166]
  [125 150 170]
  [120 144 166]
  ...
  [ 73 120 228]
  [ 72 119 227]
  [ 70 118 223]]

 ...

 [[ 78 115 137]
  [ 84 121 141]
  [ 82 118 142]
  ...
  [ 32  58 142]
  [ 35  59 141]
  [ 29  57 141]]

 [[ 82 113 138]
  [ 82 114 137]
  [ 77 111 134]
  ...
  [ 30  57 138]
  [ 28  52 134]
  [ 32  56 138]]

 [[ 89 121 144]
  [ 84 117 137]
  [ 88 119 142]
  ...
  [ 30  57 143]
  [ 30  56 140]
  [ 30  56 133]]]",107.9795918367347,1.0,255.0,109.0,121.0
4,Alan D,"[[[ 84  96 106]
  [ 85  95 113]
  [ 95 104 124]
  ...
  [174 190 233]
  [187 199 233]
  [183 192 230]]

 [[ 86  97 111]
  [ 90 100 118]
  [ 92 103 125]
  ...
  [179 196 239]
  [174 187 225]
  [173 188 220]]

 [[ 95 107 117]
  [ 97 108 128]
  [100 110 134]
  ...
  [183 195 237]
  [171 186 232]
  [156 171 217]]

 ...

 [[161 156 153]
  [162 157 154]
  [163 157 152]
  ...
  [137 163 217]
  [136 160 214]
  [160 180 227]]

 [[160 155 152]
  [160 155 152]
  [161 156 153]
  ...
  [143 164 219]
  [149 170 222]
  [152 174 215]]

 [[162 157 154]
  [162 157 154]
  [159 156 152]
  ...
  [141 168 212]
  [152 172 220]
  [151 164 202]]]",158.3743052046488,1.0,233.0,167.0,207.0
5,Alan Joyce,"[[[ 95 104 107]
  [101 110 113]
  [111 120 123]
  ...
  [ 48  52  57]
  [ 51  57  62]
  [ 55  61  66]]

 [[ 92 101 104]
  [ 98 107 110]
  [107 116 119]
  ...
  [ 48  52  57]
  [ 51  57  62]
  [ 55  61  66]]

 [[ 90  99 102]
  [ 96 105 108]
  [103 115 117]
  ...
  [ 48  52  57]
  [ 51  57  62]
  [ 55  61  66]]

 ...

 [[101 105 106]
  [109 113 114]
  [120 124 125]
  ...
  [ 55  58  63]
  [ 61  64  69]
  [ 67  70  75]]

 [[101 105 106]
  [108 112 113]
  [119 123 124]
  ...
  [ 56  59  64]
  [ 62  65  70]
  [ 68  71  76]]

 [[100 104 105]
  [108 112 113]
  [118 122 123]
  ...
  [ 57  60  65]
  [ 64  67  72]
  [ 70  73  78]]]",114.02933673469387,28.0,191.0,114.0,108.0
7,Andrew S,"[[[200 220 238]
  [200 220 238]
  [201 221 239]
  ...
  [ 97 114 141]
  [ 97 114 141]
  [ 97 114 141]]

 [[199 219 237]
  [200 220 238]
  [201 221 239]
  ...
  [ 98 115 142]
  [ 98 115 142]
  [ 98 115 142]]

 [[200 220 238]
  [201 221 239]
  [202 222 240]
  ...
  [ 99 116 143]
  [ 98 115 142]
  [ 96 113 140]]

 ...

 [[185 212 232]
  [186 211 231]
  [186 211 231]
  ...
  [ 97 121 145]
  [ 96 120 144]
  [ 97 121 145]]

 [[185 212 232]
  [186 211 231]
  [186 211 231]
  ...
  [102 126 150]
  [ 99 123 147]
  [ 97 121 145]]

 [[189 215 232]
  [188 214 231]
  [187 213 230]
  ...
  [101 125 149]
  [101 125 149]
  [104 128 152]]]",171.13353316736948,1.0,255.0,181.0,225.0
8,Andrew Wilson,"[[[ 62  99 157]
  [ 62  99 155]
  [ 51  90 142]
  ...
  [ 47  76 143]
  [ 41  69 134]
  [ 39  66 130]]

 [[ 56  93 151]
  [ 57  94 150]
  [ 48  87 139]
  ...
  [ 51  80 147]
  [ 47  74 141]
  [ 45  72 136]]

 [[ 53  90 148]
  [ 55  92 148]
  [ 47  86 138]
  ...
  [ 56  84 155]
  [ 56  82 152]
  [ 41  67 134]]

 ...

 [[ 48  65  92]
  [ 50  68  99]
  [ 54  73 108]
  ...
  [ 54  74 115]
  [ 69  92 137]
  [ 36  63 113]]

 [[ 41  55  83]
  [ 36  51  83]
  [ 39  58  91]
  ...
  [ 28  47  85]
  [ 21  42  87]
  [ 57  83 130]]

 [[ 37  52  68]
  [ 29  43  61]
  [ 43  61  78]
  ...
  [ 21  39  80]
  [ 32  50  91]
  [ 29  47  88]]]",136.71117550317175,5.0,203.0,147.0,172.0
9,Andy Penn,"[[[ 86 105 120]
  [197 215 232]
  [128 146 163]
  ...
  [ 72  92 109]
  [ 71  91 108]
  [100 120 137]]

 [[ 86 105 120]
  [187 205 222]
  [112 130 147]
  ...
  [ 72  92 109]
  [ 73  93 110]
  [ 90 110 127]]

 [[117 138 153]
  [173 191 208]
  [128 146 163]
  ...
  [ 71  92 107]
  [ 73  94 109]
  [ 74  95 110]]

 ...

 [[ 56  81 115]
  [ 50  75 109]
  [ 54  81 115]
  ...
  [ 62  73  93]
  [ 73  88 107]
  [ 79  99 117]]

 [[ 54  79 113]
  [ 51  78 112]
  [ 54  81 115]
  ...
  [ 61  72  92]
  [ 72  87 106]
  [ 82 102 120]]

 [[ 59  84 118]
  [ 59  87 118]
  [ 59  87 118]
  ...
  [ 59  70  90]
  [ 66  81 100]
  [ 78  98 116]]]",89.25581395348837,8.0,237.0,85.0,78.0
10,Anil Ambani,"[[[ 89 119 178]
  [ 86 115 172]
  [ 82 111 168]
  ...
  [117  33  35]
  [118  34  36]
  [116  32  34]]

 [[ 92 121 178]
  [ 90 119 176]
  [ 90 117 174]
  ...
  [119  35  37]
  [120  36  38]
  [117  33  35]]

 [[ 94 121 177]
  [ 92 119 175]
  [ 91 116 172]
  ...
  [122  35  39]
  [122  35  39]
  [118  31  35]]

 ...

 [[ 47  82 138]
  [ 48  83 139]
  [ 50  85 141]
  ...
  [122  29  36]
  [122  29  36]
  [121  28  35]]

 [[ 48  83 139]
  [ 50  84 143]
  [ 47  81 140]
  ...
  [120  27  34]
  [118  28  34]
  [117  27  33]]

 [[ 48  80 139]
  [ 53  85 144]
  [ 46  80 139]
  ...
  [118  25  32]
  [118  25  32]
  [116  23  30]]]",88.2456541161455,1.0,245.0,76.0,43.0
