Company,Executive,Title,Since
Accenture,Julie%20Sweet,CEO[1],2019
Aditya Birla Group,Kumar%20Birla,Chairman[2],1995[2]
Adobe Systems,Shantanu%20Narayen,"Chairman, president and CEO[3]",2007
Agenus,Garo%20H.%20Armen,"Founder, chairman, CEO[4]",1994
Airbus,Guillaume%20Faury,CEO[5],2012
Alibaba,Daniel%20Zhang,CEO[6],2015
Amazon.com,Jeff%20Bezos,"Founder, President, CEO and chairman[7]",1994
AMD,Lisa%20Su,CEO and president[8],2014
American Express,Stephen%20Squeri,Chairman and CEO[9],2018
American Airlines Group,Doug%20Parker,Chairman and CEO[10],2013
Anthem Inc.,Joseph%20R.%20Swedish,"Chairman, president and CEO[11]",2013
Apple Inc.,Tim%20Cook,CEO[12],2011
Arcelor Mittal,Lakshmi%20Niwas%20Mittal,Chairman and CEO[13],2006
AT&T,Randall%20L.%20Stephenson,Chairman and CEO[14],2007
BAE Systems,Charles%20Woodburn,Chief Executive Officer[15],2008
Bajaj Allianz General Insurance,Tapan%20Singhel,MD and CEO[16],2012
Banco Bilbao Vizcaya Argentaria,Carlos%20Torres%20Vila,Chairman and CEO[17],2015
Bank of America,Brian%20Moynihan,Chairman and CEO[18],2009
Barclays,Jes%20Staley,Group Chief Executive[19],2015
Berkshire Hathaway,Warren%20Buffett,Chairman and CEO,1970
Best Buy,Hubert%20Joly,Chairman and CEO[20],2012
Bharti Enterprises,Sunil%20Bharti%20Mittal,Founder and chairman[21],1985
Blackstone Group,Stephen%20A.%20Schwarzman,"Chairman, CEO and co-founder[22]",1985
BHP Billiton,Andrew%20Mackenzie,CEO[23],2013
BMW,Harald%20Krüger,Chairman of the board of management[24],2015
Boeing,Dennis%20Muilenburg,"Chairman, president and CEO[25]",2015
Boston Consulting Group,Rich%20Lesser,President and CEO[26],2013
BP,Bob%20Dudley,Group Chief Executive[27],2010
Campbell Soup Company,Denise%20Morrison,President and CEO[28],2011
Canonical Ltd.,Mark%20Shuttleworth,Founder and CEO[29],2017
Capgemini,Paul%20Hermelin,Chairman and CEO[30],2012
Capital One Financial,Richard%20Fairbank,"Founder, chairman and CEO[31]",1988
